Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,768.02
AAdk,BBtw,CChv,DDtv,EEmn,769.97
AAdk,BBtw,CChv,DDpw,EEfh,902.59
AAdk,BBtw,CChv,DDnt,EElp,646.6
AAdk,BBtw,CChv,DDtv,EEfx,776.16
AAdk,BBtw,CChv,DDpw,EEhr,18.69
AAdk,BBtw,CChv,DDnt,EEhl,787.29
AAdk,BBtw,CChv,DDtv,EEkz,150.96
AAdk,BBtw,CChv,DDpw,EEdn,664.35
AAdk,BBst,CChv,DDnt,EEdn,922.57
AAdk,BBst,CChv,DDtv,EEmn,30.19
AAdk,BBst,CChv,DDpw,EEfh,33.18
AAdk,BBst,CChv,DDnt,EElp,299.08
AAdk,BBst,CChv,DDtv,EEfx,47.31
AAdk,BBst,CChv,DDpw,EEhr,176.09
AAdk,BBst,CChv,DDnt,EEhl,815.84
AAdk,BBst,CChv,DDtv,EEkz,308.0
AAdk,BBst,CChv,DDpw,EEdn,313.91
AAdk,BBtw,CChv,DDnt,EEdn,67.89
AAdk,BBtw,CChv,DDtv,EEmn,585.56
AAdk,BBtw,CChv,DDpw,EEfh,329.52
AAdk,BBtw,CChv,DDnt,EElp,844.2
AAdk,BBtw,CChv,DDtv,EEfx,979.75
AAdk,BBtw,CChv,DDpw,EEhr,213.31
AAdk,BBtw,CChv,DDnt,EEhl,215.1
AAdk,BBtw,CChv,DDtv,EEkz,474.18
AAdk,BBtw,CChv,DDpw,EEdn,346.57
AAdk,BBst,CChv,DDnt,EEdn,736.22
AAdk,BBst,CChv,DDtv,EEmn,865.22
AAdk,BBst,CChv,DDpw,EEfh,743.19
AAdk,BBst,CChv,DDnt,EElp,106.17
AAdk,BBst,CChv,DDtv,EEfx,746.85
AAdk,BBst,CChv,DDpw,EEhr,878.26
AAdk,BBst,CChv,DDnt,EEhl,112.69
AAdk,BBst,CChv,DDtv,EEkz,753.13
AAdk,BBst,CChv,DDpw,EEdn,381.4
