Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,393.4
AAdk,BBtw,CCst,DDnw,398.64
AAdk,BBtw,CChv,DDrz,401.17
AAdk,BBtw,CCst,DDcl,785.67
AAdk,BBtw,CChv,DDlp,277.71
AAdk,BBtw,CCst,DDnt,42.82
AAdk,BBrv,CChv,DDnt,173.74
AAdk,BBrv,CCst,DDnw,314.26
AAdk,BBrv,CChv,DDrz,571.92
AAdk,BBrv,CCst,DDcl,444.44
AAdk,BBrv,CChv,DDlp,573.85
AAdk,BBrv,CCst,DDnt,443.35
AAdk,BBmn,CChv,DDnt,443.2
AAdk,BBmn,CCst,DDnw,704.14
AAdk,BBmn,CChv,DDrz,581.81
AAdk,BBmn,CCst,DDcl,584.73
AAdk,BBmn,CChv,DDlp,972.83
AAdk,BBmn,CCst,DDnt,220.56
AAdk,BBtw,CChv,DDnt,733.73
AAdk,BBtw,CCst,DDnw,224.63
AAdk,BBtw,CChv,DDrz,483.96
AAdk,BBtw,CCst,DDcl,357.55
AAdk,BBtw,CChv,DDlp,749.39
AAdk,BBtw,CCst,DDnt,367.0
