CC,DD,AAdk_BBrv,AAdk_BBmn,AAdk_BBtw,Average
CCbx,,638.14,581.57,511.55,577.08
,  DDnw,820.14,592.98,715.37,709.49
,  DDrz,414.47,318.63,376.11,369.74
,  DDcs,679.80,833.09,443.17,652.02
CChv,,545.51,662.58,438.15,548.75
,  DDhm,298.29,719.05,191.89,403.08
,  DDcl,544.24,446.87,761.89,584.33
,  DDnt,794.00,821.83,360.67,658.83
CCst,,635.43,408.80,399.69,481.31
,  DDlp,291.64,317.14,250.03,286.27
,  DDnw,924.92,701.30,561.91,729.38
,  DDnt,689.74,207.97,387.12,428.28
Average,,606.36,550.98,449.79,535.71
,  ,606.36,550.98,449.79,535.71
