CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,Minimum,EE,FF
CCkqy,,48.36,1.33,26.22,74.88,1.33,,
,  DDcwz,48.36,1.33,26.22,74.88,1.33,EEmz,FFgqt
,  DDbsz,59.81,15.43,29.21,88.41,15.43,EEmz,FFlmr
,  DDbkv,66.44,17.42,36.35,99.26,17.42,EEmz,FFgqt
CCcy,,40.05,2.19,0.05,73.67,0.05,,
,  DDbmz,54.41,11.03,28.59,87.74,11.03,EEmz,FFgqt
,  DDmx,59.92,17.94,0.05,96.89,0.05,EEmz,FFlmr
,  DDbkv,40.05,2.19,21.04,73.67,2.19,EEmz,FFlmr
CCbt,,38.37,1.92,20.46,68.51,1.92,,
,  DDmx,38.37,1.92,20.46,68.51,1.92,EEmz,FFgqt
,  DDmpy,59.44,16.96,28.68,94.35,16.96,EEmz,FFgqt
,  DDhpt,52.34,6.55,27.81,79.71,6.55,EEmz,FFlmr
Minimum,,38.37,1.33,0.05,68.51,0.05,,
,  ,38.37,1.33,0.05,68.51,0.05,,
