DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,Average
DDcjx,,-53.56,20.64,64.92,-13.43,-16.89,0.34
,  EEhq,-81.30,87.59,66.31,-9.27,23.84,17.43
,  EEbkv,-76.09,-37.94,73.59,-4.06,-99.31,-28.76
,  EEdhv,-86.94,82.97,61.31,-15.32,6.67,9.74
,  EEkqy,30.09,-50.06,58.48,-25.06,1.25,2.94
DDcy,,-23.33,-13.30,-32.39,-17.02,11.86,-14.84
,  EEmz,50.96,-38.45,-57.05,-6.84,24.20,-5.44
,  EEcrv,-92.35,-46.83,-68.34,-18.37,6.44,-43.89
,  EEbkv,-97.96,-53.98,-71.09,-29.35,1.15,-50.25
,  EEmpy,46.04,86.06,66.92,-13.53,15.65,40.23
DDmx,,-24.13,16.94,-33.33,-21.17,9.74,-10.39
,  EEmz,30.16,-54.44,-72.31,-36.82,0.20,-26.64
,  EEqz,-92.27,80.06,-69.17,-24.66,5.53,-20.10
,  EEksy,49.83,-41.05,70.50,-7.65,24.63,19.25
,  EEbhk,-84.25,83.17,-62.34,-15.55,8.61,-14.07
Average,,-33.67,8.09,-0.27,-17.21,1.57,-8.30
,  ,-33.67,8.09,-0.27,-17.21,1.57,-8.30
