DD,EE,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAhpx_BBnqx_CCcqx,AAhpx_BBfnw_CCbmz,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,Maximum
DDmx,,6.05,26.54,21.89,23.95,13.93,15.56,26.54
,  EEqz,3.27,24.28,21.89,19.63,0.78,3.22,24.28
,  EEbhk,6.05,5.33,21.51,23.95,13.93,15.56,23.95
,  EEmz,0.36,26.54,18.67,4.61,8.97,4.04,26.54
DDcy,,7.10,26.68,25.91,23.70,12.27,14.79,26.68
,  EEcrv,3.56,26.50,22.72,20.01,12.27,13.68,26.50
,  EEmpy,7.10,26.68,25.91,23.70,5.60,14.79,26.68
,  EEbkv,0.20,25.17,19.70,5.80,9.35,10.24,25.17
DDcjx,,5.84,24.40,26.02,23.92,12.99,17.96,26.02
,  EEdhv,5.36,24.40,22.50,20.42,12.99,11.82,24.40
,  EEmz,5.84,5.40,26.02,23.92,4.55,17.96,26.02
,  EEkqy,2.68,23.97,20.20,18.25,3.53,7.11,23.97
