CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,EE,FF
CCcy,,15.85,73.87,52.18,82.23,2.90,,
,  DDhlt,36.37,81.46,61.42,95.83,10.87,EEhpx,FFlmr
,  DDbkv,15.85,73.87,52.18,82.23,2.90,EEhpx,FFlmr
,  DDbmz,24.65,76.05,60.03,89.98,6.64,EEmz,FFlmr
CCkqy,,19.42,74.58,55.48,85.74,4.32,,
,  DDcwz,19.42,74.58,55.48,85.74,4.32,EEmz,FFbpv
,  DDbsz,29.74,78.71,61.08,89.24,10.89,EEhpx,FFbpv
,  DDmx,40.12,82.38,64.35,96.38,14.19,EEmz,FFbpv
CCbt,,15.25,61.22,47.39,83.48,0.89,,
,  DDhpt,22.30,75.88,57.05,86.32,5.30,EEhpx,FFgqt
,  DDmpy,35.49,78.48,61.66,92.84,11.03,EEmz,FFgqt
,  DDmx,15.25,61.22,47.39,83.48,0.89,EEmz,FFgqt
