CC,DD,AAmz_BBbpv,AAmz_BBdhv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,Average
CChpx,,-7.61,-7.51,-8.60,15.68,22.49,-23.31,-38.52,-39.29,-10.83
,  DDkrs,-46.97,-1.81,-90.91,24.21,0.01,65.96,-75.50,-35.24,-20.03
,  DDlmr,-54.56,-12.78,29.64,8.17,96.30,-69.30,38.02,-42.92,-0.93
,  DDcmp,78.69,-7.94,35.47,14.66,-28.83,-66.58,-78.07,-39.71,-11.54
CCbt,,28.38,-11.40,-10.93,11.80,54.29,-27.63,-41.07,86.78,11.28
,  DDmx,60.65,-19.26,26.95,3.95,94.81,54.15,38.55,84.91,43.09
,  DDbmz,79.85,-4.33,36.18,19.44,-30.16,-67.11,-79.56,87.95,5.28
,  DDcwz,-55.36,-10.61,-95.92,12.02,98.22,-69.94,-82.20,87.48,-14.54
CCfnw,,34.95,-7.98,-53.02,12.89,12.79,-25.04,46.11,2.23,2.86
,  DDkrs,73.65,-12.93,27.05,3.64,-32.11,-71.57,38.68,-43.33,-2.11
,  DDmx,82.26,-2.39,-91.93,21.76,-28.09,64.22,49.98,-38.07,7.22
,  DDqz,-51.07,-8.63,-94.19,13.26,98.57,-67.78,49.68,88.08,3.49
Average,,18.57,-8.96,-24.18,13.46,29.86,-25.33,-11.16,16.57,1.10
,  ,18.57,-8.96,-24.18,13.46,29.86,-25.33,-11.16,16.57,1.10
