DD,EE,AAdk_BBtw_CChv,AAdk_BBtw_CCdt,AArv_BBst_CCnw,AArv_BBst_CCdl,Maximum
DDtv,,8.46,26.20,17.43,16.78,26.20
,  EEdn,8.46,26.20,17.43,16.78,26.20
,  EEmn,1.31,20.88,10.94,1.26,20.88
,  EEfx,4.48,23.46,7.71,10.23,23.46
DDnt,,7.86,25.23,11.77,24.57,25.23
,  EEdn,1.87,19.62,10.96,24.57,24.57
,  EElp,3.95,19.16,9.50,2.85,19.16
,  EEhl,7.86,25.23,11.77,13.44,25.23
DDpw,,9.69,25.57,10.60,25.76,25.76
,  EEmn,9.69,25.57,2.41,7.44,25.57
,  EEhr,6.22,23.17,10.60,11.46,23.17
,  EEfh,3.36,21.68,9.35,25.76,25.76
