DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs
DDmx,EEbhk,-78.26,59.71,-19.96,30.36,-95.49,-41.81,20.55,89.75
,EEmz,-89.09,43.26,-30.36,27.24,-0.61,-61.67,7.22,77.08
,EEksy,-64.99,68.95,-6.48,40.20,-93.01,-32.38,22.00,99.62
,EEqz,-91.10,49.46,-27.70,29.36,-99.10,-53.22,12.34,81.12
DDcy,EEjvz,-63.53,68.52,-5.07,40.02,-95.40,-31.80,24.60,-5.10
,EEcrv,-84.13,51.10,-22.60,30.06,-97.67,-52.75,12.53,82.82
,EEbkv,-88.76,44.36,-31.42,28.19,-1.01,-64.12,8.53,80.34
,EEmpy,-77.60,63.99,-14.86,39.71,-94.98,-41.40,21.47,89.49
DDcjx,EEhq,-70.81,67.75,-9.89,40.99,-93.99,-33.33,21.13,97.61
,EEmz,-63.28,73.29,-1.49,41.23,-90.93,-30.84,24.57,-9.52
,EEdhv,-82.17,54.60,-21.20,32.46,-99.53,-44.93,15.94,87.56
,EEkqy,-87.69,39.66,-27.47,29.33,-99.65,-56.88,11.45,80.25
