DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCcqx
DDcjx,,16.78,27.75,5.42,16.41,26.13
,  EEkqy,6.39,24.73,2.86,14.16,20.21
,  EEbkv,16.78,13.34,3.45,0.01,26.13
,  EEdhv,13.13,27.75,5.42,16.41,17.15
DDcy,,16.88,21.86,6.32,18.21,23.49
,  EEcrv,13.16,5.84,3.69,3.55,22.66
,  EEmz,16.88,13.26,6.32,18.21,23.49
,  EEbkv,10.13,21.86,1.42,14.79,15.51
DDmx,,15.90,27.38,5.28,17.71,20.52
,  EEqz,12.30,24.52,3.75,14.45,20.52
,  EEmz,9.36,27.38,0.77,14.70,18.85
,  EEbhk,15.90,7.50,5.28,17.71,18.30
Maximum,,16.88,27.75,6.32,18.21,26.13
,  ,16.88,27.75,6.32,18.21,26.13
