CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAmz_BBdhv,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBbkv,AAcy_BBhpt
CCfnw,DDkrs,-1.90,33.49,-20.11,-47.83,72.49,12.94,52.31,-73.82
,DDqz,99.59,31.72,-21.58,-47.75,66.28,8.94,49.09,-72.99
,DDgv,-93.32,37.52,-12.52,-44.25,69.44,15.21,51.76,-67.51
CCbt,DDcwz,92.94,27.89,-22.74,-48.03,65.37,5.40,49.27,-74.29
,DDbmz,-96.25,36.02,-14.76,-46.93,69.41,13.28,52.94,-68.10
,DDmx,-2.62,32.10,-23.61,-49.09,68.39,9.30,51.70,-74.60
CChpx,DDdlz,-92.94,40.32,-10.41,-43.89,75.21,15.53,54.15,-66.26
,DDcmp,-99.56,34.28,-15.80,-48.69,68.03,10.82,51.63,-70.65
,DDlmr,-49.41,32.68,-19.12,-45.80,74.82,13.99,51.98,-72.53
Average,,-27.05,34.00,-17.85,-46.92,69.94,11.71,51.65,-71.19
