CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Minimum,EE,FF
CCbt,,36.47,66.06,51.36,7.25,81.94,7.25,,
,  DDmx,36.47,66.06,51.36,7.25,81.94,7.25,EEmz,FFgqt
,  DDmpy,44.83,78.60,58.16,29.68,92.36,29.68,EEmz,FFgqt
,  DDhpt,44.16,69.79,56.01,23.53,85.48,23.53,EEmz,FFlmr
CCkqy,,43.65,66.67,54.98,20.91,82.03,20.91,,
,  DDhk,51.43,81.85,63.54,33.58,96.19,33.58,EEmz,FFgqt
,  DDcwz,43.65,66.67,54.98,20.91,82.03,20.91,EEmz,FFgqt
,  DDbsz,46.53,76.71,59.82,27.01,88.52,27.01,EEmz,FFlmr
CCcy,,40.88,66.09,53.11,20.57,81.59,20.57,,
,  DDbmz,43.79,73.48,58.13,24.47,81.59,24.47,EEmz,FFgqt
,  DDbkv,40.88,66.09,53.11,20.57,83.05,20.57,EEmz,FFlmr
,  DDhlt,48.06,79.52,59.35,31.39,95.81,31.39,EEmz,FFlmr
Minimum,,36.47,66.06,51.36,7.25,81.59,7.25,,
,  ,36.47,66.06,51.36,7.25,81.59,7.25,,
