Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,810.35
AAdk,BBtw,CCst,DDnw,330.46
AAdk,BBtw,CChv,DDrz,556.75
AAdk,BBtw,CCst,DDcl,717.67
AAdk,BBtw,CChv,DDlp,366.98
AAdk,BBtw,CCst,DDnt,238.43
AAdk,BBrv,CChv,DDnt,588.4
AAdk,BBrv,CCst,DDnw,817.54
AAdk,BBrv,CChv,DDrz,657.29
AAdk,BBrv,CCst,DDcl,110.03
AAdk,BBrv,CChv,DDlp,119.12
AAdk,BBrv,CCst,DDnt,661.58
AAdk,BBtw,CChv,DDnt,22.18
AAdk,BBtw,CCst,DDnw,23.19
AAdk,BBtw,CChv,DDrz,661.22
AAdk,BBtw,CCst,DDcl,506.15
AAdk,BBtw,CChv,DDlp,349.36
AAdk,BBtw,CCst,DDnt,542.5
