Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,257.48
AApqr,BBnqx,CCbt,DDcy,EEbkv,17.38
AApqr,BBnqx,CCbt,DDcjx,EEkqy,913.89
AApqr,BBnqx,CCbt,DDmx,EEqz,406.89
AApqr,BBnqx,CCbt,DDcy,EEcrv,919.39
AApqr,BBnqx,CCbt,DDcjx,EEdhv,926.27
AApqr,BBnqx,CCbt,DDmx,EEbhk,415.39
AApqr,BBnqx,CCbt,DDcy,EEmpy,929.15
AApqr,BBnqx,CCbt,DDcjx,EEmz,930.28
AApqr,BBfnw,CCbt,DDmx,EEmz,802.33
AApqr,BBfnw,CCbt,DDcy,EEbkv,676.42
AApqr,BBfnw,CCbt,DDcjx,EEkqy,549.31
AApqr,BBfnw,CCbt,DDmx,EEqz,420.9
AApqr,BBfnw,CCbt,DDcy,EEcrv,42.59
AApqr,BBfnw,CCbt,DDcjx,EEdhv,684.81
AApqr,BBfnw,CCbt,DDmx,EEbhk,813.17
AApqr,BBfnw,CCbt,DDcy,EEmpy,560.46
AApqr,BBfnw,CCbt,DDcjx,EEmz,562.71
AApqr,BBlmr,CCbt,DDmx,EEmz,440.68
AApqr,BBlmr,CCbt,DDcy,EEbkv,696.93
AApqr,BBlmr,CCbt,DDcjx,EEkqy,697.14
AApqr,BBlmr,CCbt,DDmx,EEqz,827.01
AApqr,BBlmr,CCbt,DDcy,EEcrv,958.26
AApqr,BBlmr,CCbt,DDcjx,EEdhv,703.28
AApqr,BBlmr,CCbt,DDmx,EEbhk,833.11
AApqr,BBlmr,CCbt,DDcy,EEmpy,455.36
AApqr,BBlmr,CCbt,DDcjx,EEmz,841.17
AApqr,BBnqx,CCbt,DDmx,EEmz,847.93
AApqr,BBnqx,CCbt,DDcy,EEbkv,214.3
AApqr,BBnqx,CCbt,DDcjx,EEkqy,862.07
AApqr,BBnqx,CCbt,DDmx,EEqz,483.58
AApqr,BBnqx,CCbt,DDcy,EEcrv,612.08
AApqr,BBnqx,CCbt,DDcjx,EEdhv,869.55
AApqr,BBnqx,CCbt,DDmx,EEbhk,614.47
AApqr,BBnqx,CCbt,DDcy,EEmpy,359.38
AApqr,BBnqx,CCbt,DDcjx,EEmz,875.36
AApqr,BBfnw,CCbt,DDmx,EEmz,492.39
AApqr,BBfnw,CCbt,DDcy,EEbkv,112.03
AApqr,BBfnw,CCbt,DDcjx,EEkqy,625.7
AApqr,BBfnw,CCbt,DDmx,EEqz,371.13
AApqr,BBfnw,CCbt,DDcy,EEcrv,373.44
AApqr,BBfnw,CCbt,DDcjx,EEdhv,249.57
AApqr,BBfnw,CCbt,DDmx,EEbhk,252.75
AApqr,BBfnw,CCbt,DDcy,EEmpy,894.12
AApqr,BBfnw,CCbt,DDcjx,EEmz,639.69
