CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBgv,AAfnw_BBkrs,AAfnw_BBqz,Minimum,EE,FF
CCcy,,64.03,2.68,40.27,77.21,20.59,48.50,2.68,,
,  DDbmz,65.78,3.11,42.96,95.18,27.58,48.50,3.11,EEmz,FFlmr
,  DDhlt,71.73,11.53,46.65,98.20,27.87,61.20,11.53,EEhpx,FFlmr
,  DDbkv,64.03,2.68,40.27,77.21,20.59,49.47,2.68,EEhpx,FFlmr
CCkqy,,65.99,3.45,41.44,78.78,21.93,50.29,3.45,,
,  DDcwz,65.99,3.45,41.44,78.78,21.93,50.29,3.45,EEmz,FFbpv
,  DDbsz,70.66,8.77,43.26,95.74,29.56,57.85,8.77,EEhpx,FFbpv
,  DDmx,73.50,16.88,46.99,98.73,33.78,62.62,16.88,EEmz,FFbpv
CCbt,,63.91,0.37,34.35,74.67,19.65,48.87,0.37,,
,  DDmpy,71.58,9.87,43.24,97.47,30.81,59.87,9.87,EEmz,FFgqt
,  DDhpt,65.14,4.67,42.66,78.95,27.69,49.80,4.67,EEhpx,FFgqt
,  DDmx,63.91,0.37,34.35,74.67,19.65,48.87,0.37,EEmz,FFgqt
Minimum,,63.91,0.37,34.35,74.67,19.65,48.50,0.37,,
,  ,63.91,0.37,34.35,74.67,19.65,48.50,0.37,,
