DD,EE,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDcjx,,-93.30,-18.82,12.60,66.87,-46.35,52.14,-77.31
,  EEkqy,-92.77,-17.40,14.62,33.15,-45.63,52.06,-76.74
,  EEdhv,-96.40,-22.97,9.13,77.93,-51.02,43.91,-78.31
,  EEhq,-90.72,-16.10,14.04,89.54,-42.41,60.44,-76.88
DDcy,,-94.14,-22.09,10.93,84.11,-48.88,48.12,-79.58
,  EEbkv,-93.52,-21.20,11.60,85.78,-49.09,48.06,-79.72
,  EEmpy,-92.26,-17.81,12.68,89.86,-44.33,52.48,-79.62
,  EEcrv,-96.66,-27.27,8.50,76.69,-53.22,43.82,-79.39
DDmx,,-95.06,-24.66,8.07,80.03,-51.41,45.75,-80.71
,  EEmz,-94.55,-24.50,10.62,85.10,-50.76,46.57,-83.50
,  EEbhk,-93.65,-18.71,8.89,82.12,-48.14,50.73,-78.16
,  EEqz,-96.99,-30.76,4.71,72.88,-55.33,39.95,-80.47
