DD,EE,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,Maximum
DDcjx,,21.44,15.77,27.96,9.87,24.47,27.96
,  EEmz,21.44,15.77,27.96,9.87,10.98,27.96
,  EEkqy,14.49,9.49,19.52,3.48,24.47,24.47
,  EEdhv,17.51,14.51,23.74,5.05,8.71,23.74
DDmx,,18.36,16.21,25.22,5.06,21.71,25.22
,  EEmz,11.22,10.17,19.42,1.65,21.71,21.71
,  EEqz,15.92,11.98,21.46,4.48,6.33,21.46
,  EEbhk,18.36,16.21,25.22,5.06,9.30,25.22
DDcy,,17.68,13.99,23.76,8.25,21.57,23.76
,  EEbkv,0.17,9.63,20.91,2.72,21.57,21.57
,  EEcrv,17.68,13.99,23.76,5.38,8.22,23.76
,  EEmpy,6.95,10.89,23.40,8.25,9.74,23.40
Maximum,,21.44,16.21,27.96,9.87,24.47,27.96
,  ,21.44,16.21,27.96,9.87,24.47,27.96
