CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,Minimum,EE,FF
CCcy,,88.74,32.25,9.57,61.92,9.57,,
,  DDbmz,93.62,41.97,20.41,67.87,20.41,EEmz,FFgqt
,  DDhlt,96.39,49.77,29.55,79.26,29.55,EEmz,FFgqt
,  DDbkv,88.74,32.25,9.57,61.92,9.57,EEmz,FFgqt
CCbt,,82.49,32.48,8.25,57.42,8.25,,
,  DDmx,82.49,32.48,8.25,57.42,8.25,EEmz,FFgqt
,  DDmpy,96.97,43.76,25.75,67.79,25.75,EEmz,FFgqt
,  DDhpt,91.96,39.90,17.34,66.92,17.34,EEmz,FFgqt
CCkqy,,91.08,38.39,13.93,64.77,13.93,,
,  DDmx,98.26,53.78,31.16,81.17,31.16,EEmz,FFgqt
,  DDcwz,91.08,38.39,13.93,64.77,13.93,EEmz,FFgqt
,  DDbsz,92.33,41.49,24.57,67.74,24.57,EEmz,FFgqt
Minimum,,82.49,32.25,8.25,57.42,8.25,,
,  ,82.49,32.25,8.25,57.42,8.25,,
