CC,DD,EE,FF,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBknr,AAfnw_BBbgp,AAfnw_BBkrs
CCcy,DDhlt,EEmz,FFgqt,35.40,76.62,16.27,44.73,89.99,45.47,49.32,26.30
,DDbkv,EEmz,FFgqt,21.14,62.79,7.53,38.80,80.33,93.51,50.88,20.67
,DDbmz,EEmz,FFgqt,30.69,67.44,13.32,43.23,83.33,96.54,51.68,23.21
CCbt,DDhpt,EEmz,FFgqt,31.84,64.90,8.23,43.85,83.14,94.92,52.67,21.95
,DDmx,EEmz,FFgqt,28.34,60.13,2.64,37.32,80.67,92.67,49.46,18.06
,DDmpy,EEmz,FFgqt,34.65,71.08,16.79,46.22,81.77,99.80,48.87,17.88
CCkqy,DDcwz,EEmz,FFgqt,30.43,64.11,8.37,39.21,80.21,92.64,51.64,21.26
,DDmx,EEmz,FFgqt,34.83,77.62,18.17,47.07,89.74,46.16,59.26,24.09
,DDbsz,EEmz,FFgqt,33.33,69.09,13.35,45.99,85.90,98.46,53.84,22.89
Minimum,,,,21.14,60.13,2.64,37.32,80.21,45.47,48.87,17.88
