CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt
Average,,-17.25,-22.26,5.95,14.70,29.69,-24.19
,  ,-17.25,-22.26,5.95,14.70,29.69,-24.19
CChpx,,-15.48,-62.87,49.87,17.75,31.14,9.93
,  DDmx,-5.05,-55.26,86.74,28.02,-25.58,50.80
,  DDlmr,-22.28,-68.97,77.45,9.06,-40.85,34.06
,  DDdlz,-12.99,-62.29,-45.27,22.28,96.49,46.30
,  DDcmp,-21.60,-64.95,80.57,11.64,94.51,-91.42
CCfnw,,-17.44,-33.12,-15.47,13.52,29.71,-56.53
,  DDqz,-19.25,-65.99,-49.10,10.69,-36.45,-92.07
,  DDgv,-16.85,-62.76,-46.77,14.39,-32.63,-86.59
,  DDknr,-10.82,71.08,86.79,27.53,99.47,-81.04
,  DDkrs,-22.84,-74.79,-52.79,1.46,88.45,33.58
CCbt,,-18.82,29.19,-16.54,12.83,28.22,-25.98
,  DDmx,-23.86,51.22,-54.54,0.96,85.41,-96.59
,  DDbmz,-17.65,63.38,82.48,13.70,-33.36,38.84
,  DDmpy,-10.11,-59.11,-43.25,25.99,97.26,47.99
,  DDcwz,-23.65,61.28,-50.86,10.67,-36.43,-94.15
