CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,Minimum,EE,FF
CCbt,,23.60,67.73,44.13,88.07,5.59,5.59,,
,  DDhpt,24.11,76.59,55.42,90.95,10.53,10.53,EEmz,FFgqt
,  DDmx,23.60,67.73,44.13,88.07,5.59,5.59,EEmz,FFgqt
,  DDmpy,31.05,81.70,59.38,97.17,20.86,20.86,EEmz,FFgqt
CCcy,,24.90,72.95,50.72,88.84,6.79,6.79,,
,  DDbmz,29.04,78.01,56.06,90.40,17.93,17.93,EEmz,FFgqt
,  DDbkv,24.90,72.95,50.72,88.84,6.79,6.79,EEmz,FFgqt
,  DDmx,36.46,82.59,60.48,98.40,19.90,19.90,EEmz,FFgqt
CCkqy,,25.72,75.42,52.37,89.54,6.69,6.69,,
,  DDbkv,38.10,82.47,62.88,98.63,22.29,22.29,EEmz,FFgqt
,  DDcwz,25.72,75.42,52.37,89.54,6.69,6.69,EEmz,FFgqt
,  DDbsz,31.79,80.76,58.73,96.02,19.13,19.13,EEmz,FFgqt
Minimum,,23.60,67.73,44.13,88.07,5.59,5.59,,
,  ,23.60,67.73,44.13,88.07,5.59,5.59,,
