CC,DD,EE,FF,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBbgp,AAfnw_BBknr,AAfnw_BBkrs
CCkqy,DDhk,EEmz,FFgqt,32.24,71.52,9.82,44.07,85.71,59.36,99.11,20.66
,DDbsz,EEmz,FFlmr,25.99,68.39,4.31,41.76,82.87,52.50,94.66,11.35
,DDcwz,EEmz,FFgqt,23.70,62.56,2.08,36.26,79.29,47.41,88.12,14.11
CCcy,DDhlt,EEmz,FFlmr,32.65,71.92,10.12,42.95,82.42,57.60,97.85,19.98
,DDbkv,EEmz,FFlmr,13.50,61.04,0.13,32.81,77.78,45.00,87.54,13.80
,DDbmz,EEmz,FFgqt,25.49,65.82,4.97,39.86,79.68,43.72,93.19,16.52
CCbt,DDhpt,EEmz,FFlmr,24.02,61.98,2.61,35.90,80.25,46.81,82.68,14.26
,DDmx,EEmz,FFgqt,21.75,60.12,0.47,33.61,77.81,45.62,86.95,10.23
,DDmpy,EEmz,FFgqt,27.58,70.56,9.21,42.79,82.29,52.88,94.33,16.20
Minimum,,,,13.50,60.12,0.13,32.81,77.78,43.72,82.68,10.23
