CC,DD,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBkrs,AAfnw_BBbgp,AAfnw_BBknr,EE,FF
CCkqy,,42.13,77.70,3.95,34.35,63.74,19.31,55.91,90.46,,
,  DDbkv,51.68,83.07,16.75,38.49,74.01,33.40,62.85,95.90,EEmz,FFgqt
,  DDbsz,42.13,78.63,12.18,37.27,69.22,26.17,57.70,93.79,EEhpx,FFlmr
,  DDcwz,45.82,77.70,3.95,34.35,63.74,19.31,55.91,90.46,EEmz,FFgqt
CCbt,,43.18,73.31,1.90,34.55,62.75,17.26,46.13,42.92,,
,  DDhpt,43.18,78.70,7.85,37.93,66.06,20.61,56.59,90.23,EEhpx,FFlmr
,  DDmx,43.79,73.31,1.90,34.55,62.75,17.26,46.13,42.92,EEmz,FFgqt
,  DDmpy,49.43,81.46,12.03,39.45,72.87,29.22,58.09,94.09,EEmz,FFgqt
CCcy,,44.44,75.83,1.92,35.27,62.50,17.54,54.41,85.45,,
,  DDbmz,44.44,79.69,9.44,38.82,67.66,25.39,57.37,90.16,EEmz,FFgqt
,  DDbkv,44.55,75.83,1.92,35.27,62.50,17.54,54.41,85.45,EEhpx,FFlmr
,  DDmx,49.12,78.82,14.60,41.60,72.49,29.33,59.40,95.06,EEhpx,FFlmr
Minimum,,42.13,73.31,1.90,34.35,62.50,17.26,46.13,42.92,,
,  ,42.13,73.31,1.90,34.35,62.50,17.26,46.13,42.92,,
