DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
DDcjx,,21.64,15.85,-20.32,53.31,-79.47,68.48,-53.69
,  EEdhv,15.81,91.62,-29.17,51.16,-84.68,60.12,-64.21
,  EEkqy,6.99,78.07,-32.89,45.91,-90.93,64.53,-64.74
,  EEbkv,28.39,-94.12,-17.29,57.53,-73.10,73.62,-47.43
,  EEcrv,35.53,-91.68,-1.16,60.08,-66.90,73.23,-42.22
,  EEhq,21.49,95.37,-21.09,51.89,-81.72,70.88,-49.87
DDcy,,19.65,13.57,-21.49,52.48,-82.51,68.34,-54.84
,  EEmz,28.96,-95.66,-19.41,56.03,-79.33,72.48,-46.47
,  EEqz,32.21,-94.40,-2.38,60.55,-70.40,75.99,-47.40
,  EEmpy,21.57,94.43,-22.40,53.49,-86.93,69.03,-54.50
,  EEbkv,2.67,78.68,-34.31,42.15,-90.90,63.24,-64.25
,  EEcrv,12.83,84.78,-28.96,50.16,-85.00,60.96,-61.58
DDmx,,17.15,51.17,-24.24,48.27,-83.65,67.70,-55.72
,  EEmz,2.56,78.61,-36.13,35.24,-91.61,62.81,-66.79
,  EEqz,10.43,81.17,-29.49,49.77,-86.60,64.57,-62.93
,  EEkqy,28.15,-95.31,-9.19,53.24,-72.84,72.76,-44.11
,  EEksy,26.62,97.64,-20.79,50.63,-80.19,69.80,-47.22
,  EEbhk,17.98,93.75,-25.59,52.46,-86.99,68.54,-57.57
Average,,19.48,26.86,-22.02,51.35,-81.87,68.17,-54.75
,  ,19.48,26.86,-22.02,51.35,-81.87,68.17,-54.75
