AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,263.48
AAdk,BBtw,CCst,DDnw,522.21
AAdk,BBtw,CCbx,DDrz,395.54
AAdk,BBtw,CChv,DDcl,268.17
AAdk,BBtw,CCst,DDlp,403.87
AAdk,BBtw,CCbx,DDcs,275.66
AAdk,BBtw,CChv,DDhm,533.66
AAdk,BBtw,CCst,DDnt,669.17
AAdk,BBtw,CCbx,DDnw,931.07
AAdk,BBrv,CChv,DDnt,932.41
AAdk,BBrv,CCst,DDnw,38.36
AAdk,BBrv,CCbx,DDrz,39.07
AAdk,BBrv,CChv,DDcl,297.61
AAdk,BBrv,CCst,DDlp,427.77
AAdk,BBrv,CCbx,DDcs,301.75
AAdk,BBrv,CChv,DDhm,175.3
AAdk,BBrv,CCst,DDnt,944.95
AAdk,BBrv,CCbx,DDnw,304.68
AAdk,BBmn,CChv,DDnt,179.24
AAdk,BBmn,CCst,DDnw,821.27
AAdk,BBmn,CCbx,DDrz,193.37
AAdk,BBmn,CChv,DDcl,198.6
AAdk,BBmn,CCst,DDlp,716.57
AAdk,BBmn,CCbx,DDcs,462.75
AAdk,BBmn,CChv,DDhm,464.62
AAdk,BBmn,CCst,DDnt,722.46
AAdk,BBmn,CCbx,DDnw,342.28
AAdk,BBtw,CChv,DDnt,988.21
AAdk,BBtw,CCst,DDnw,222.86
AAdk,BBtw,CCbx,DDrz,234.87
AAdk,BBtw,CChv,DDcl,370.05
AAdk,BBtw,CCst,DDlp,243.55
AAdk,BBtw,CCbx,DDcs,883.66
AAdk,BBtw,CChv,DDhm,760.28
AAdk,BBtw,CCst,DDnt,635.42
AAdk,BBtw,CCbx,DDnw,381.04
