Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,128.17
AAdk,BBtw,CCst,DDnw,903.63
AAdk,BBtw,CCbx,DDrz,656.52
AAdk,BBtw,CChv,DDcl,17.82
AAdk,BBtw,CCst,DDlp,19.11
AAdk,BBtw,CCbx,DDcs,792.12
AAdk,BBtw,CChv,DDhm,295.41
AAdk,BBtw,CCst,DDnt,556.87
AAdk,BBtw,CCbx,DDnw,428.0
AAdk,BBrv,CChv,DDnt,814.97
AAdk,BBrv,CCst,DDnw,947.29
AAdk,BBrv,CCbx,DDrz,308.05
AAdk,BBrv,CChv,DDcl,443.3
AAdk,BBrv,CCst,DDlp,705.01
AAdk,BBrv,CCbx,DDcs,706.85
AAdk,BBrv,CChv,DDhm,458.51
AAdk,BBrv,CCst,DDnt,461.87
AAdk,BBrv,CCbx,DDnw,721.09
AAdk,BBtw,CChv,DDnt,85.42
AAdk,BBtw,CCst,DDnw,990.93
AAdk,BBtw,CCbx,DDrz,991.56
AAdk,BBtw,CChv,DDcl,224.76
AAdk,BBtw,CCst,DDlp,613.77
AAdk,BBtw,CCbx,DDcs,492.89
AAdk,BBtw,CChv,DDhm,497.17
AAdk,BBtw,CCst,DDnt,245.47
AAdk,BBtw,CCbx,DDnw,505.0
