CC,DD,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,Minimum,EE,FF
CCcy,,40.61,1.15,84.43,24.18,12.08,63.96,1.15,,
,  DDmx,57.38,7.89,93.72,37.46,18.47,77.92,7.89,EEmz,FFlmr
,  DDbmz,49.40,4.64,87.29,31.01,18.86,68.64,4.64,EEmz,FFgqt
,  DDbkv,40.61,1.15,84.43,24.18,12.08,63.96,1.15,EEmz,FFlmr
CCkqy,,43.36,0.81,85.63,26.63,15.92,63.71,0.81,,
,  DDbsz,51.74,0.81,89.92,34.92,18.80,72.11,0.81,EEmz,FFlmr
,  DDcwz,43.36,2.03,85.63,26.63,15.92,63.71,2.03,EEmz,FFgqt
,  DDbkv,59.05,8.58,92.04,37.30,22.22,80.34,8.58,EEmz,FFgqt
CCbt,,39.51,0.33,82.22,24.04,8.22,60.30,0.33,,
,  DDmx,39.51,0.33,82.22,24.04,8.22,60.30,0.33,EEmz,FFgqt
,  DDhpt,44.84,3.47,86.87,28.09,17.37,65.69,3.47,EEmz,FFlmr
,  DDmpy,56.97,3.65,92.94,34.72,20.40,76.02,3.65,EEmz,FFgqt
Minimum,,39.51,0.33,82.22,24.04,8.22,60.30,0.33,,
,  ,39.51,0.33,82.22,24.04,8.22,60.30,0.33,,
