CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBbgp,AAfnw_BBkrs,AAfnw_BBknr,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,Minimum,EE,FF
CCkqy,,21.78,58.66,49.72,11.37,81.68,63.78,0.98,29.26,0.98,,
,  DDhk,29.58,65.20,56.04,18.41,99.60,76.09,9.81,39.96,9.81,EEmz,FFgqt
,  DDbsz,25.53,62.48,51.95,15.59,89.08,70.23,5.39,35.87,5.39,EEmz,FFgqt
,  DDcwz,21.78,58.66,49.72,11.37,81.68,63.78,0.98,29.26,0.98,EEmz,FFgqt
CCcy,,20.12,58.75,49.55,11.98,80.14,65.05,1.82,30.57,1.82,,
,  DDbmz,24.51,61.03,52.30,13.79,82.23,65.05,4.33,31.89,4.33,EEmz,FFgqt
,  DDbkv,20.12,58.75,49.55,11.98,80.14,67.06,1.82,30.57,1.82,EEmz,FFgqt
,  DDhlt,28.97,64.19,55.43,16.85,99.46,73.05,3.41,39.67,3.41,EEmz,FFgqt
CCbt,,11.07,49.93,47.68,10.58,78.14,66.09,0.39,29.63,0.39,,
,  DDmx,11.07,49.93,47.68,10.58,78.14,66.09,0.39,29.63,0.39,EEmz,FFgqt
,  DDmpy,27.68,63.49,51.03,16.45,94.10,72.90,1.87,36.75,1.87,EEmz,FFgqt
,  DDhpt,23.63,57.45,51.86,13.22,82.76,69.32,3.06,33.96,3.06,EEmz,FFgqt
