CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBkrs,AAfnw_BBbgp,Minimum,EE,FF
CCkqy,,81.39,45.20,13.74,61.29,87.30,24.49,67.81,13.74,,
,  DDbsz,86.04,51.86,17.55,66.77,95.55,33.95,72.27,17.55,EEmz,FFlmr
,  DDcwz,81.39,45.20,13.74,61.29,87.30,24.49,67.81,13.74,EEmz,FFgqt
,  DDmx,88.28,58.27,20.83,69.08,96.51,39.03,78.75,20.83,EEmz,FFgqt
CCbt,,79.30,39.65,3.75,59.80,90.79,23.43,67.86,3.75,,
,  DDmx,79.30,39.65,3.75,59.80,90.79,23.43,69.96,3.75,EEmz,FFgqt
,  DDmpy,87.81,55.53,18.91,67.13,96.53,34.65,73.68,18.91,EEmz,FFgqt
,  DDhpt,83.71,45.97,14.63,62.17,94.42,26.03,67.86,14.63,EEmz,FFlmr
CCcy,,79.17,41.05,8.14,60.70,87.58,23.74,68.53,8.14,,
,  DDbkv,79.17,41.05,8.14,60.70,87.58,23.74,71.45,8.14,EEmz,FFlmr
,  DDhlt,87.20,57.24,20.67,68.59,98.90,37.99,77.53,20.67,EEmz,FFlmr
,  DDbmz,84.17,48.04,17.40,61.16,95.04,31.03,68.53,17.40,EEmz,FFgqt
Minimum,,79.17,39.65,3.75,59.80,87.30,23.43,67.81,3.75,,
,  ,79.17,39.65,3.75,59.80,87.30,23.43,67.81,3.75,,
