CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv
CCfnw,DDgv,83.76,-84.88,97.41,24.73,-68.76
,DDlmr,-40.40,41.84,-15.97,-98.06,63.18
,DDqz,76.55,-87.70,-31.92,10.05,-71.91
,DDkrs,59.87,-90.34,-33.28,0.66,50.96
CCbt,DDcwz,-57.27,-90.66,-33.53,8.09,-72.51
,DDmx,-89.08,37.55,93.08,-0.30,-88.80
,DDbmz,83.59,39.53,-28.02,22.83,-71.07
,DDkrs,88.14,-87.77,-15.88,30.94,-66.43
CChpx,DDcwz,-36.08,-80.44,-7.67,35.74,-66.58
,DDmx,-43.85,45.73,-25.22,29.06,-70.95
,DDcmp,81.17,-87.39,99.33,17.57,58.61
,DDlmr,-61.83,-89.59,95.68,1.71,54.27
Average,,12.05,-44.51,16.17,6.92,-29.17
