AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,486.25
AAdk,BBtw,CChv,DDtv,EEmn,584.34
AAdk,BBtw,CChv,DDnt,EEfh,809.2
AAdk,BBtw,CChv,DDtv,EElp,936.25
AAdk,BBst,CChv,DDnt,EEdn,875.96
AAdk,BBst,CChv,DDtv,EEmn,716.44
AAdk,BBst,CChv,DDnt,EEfh,716.28
AAdk,BBst,CChv,DDtv,EElp,942.29
AAdk,BBtw,CChv,DDnt,EEdn,465.64
AAdk,BBtw,CChv,DDtv,EEmn,210.17
AAdk,BBtw,CChv,DDnt,EEfh,379.69
AAdk,BBtw,CChv,DDtv,EElp,756.52
AAdk,BBst,CChv,DDnt,EEdn,401.76
AAdk,BBst,CChv,DDtv,EEmn,314.21
AAdk,BBst,CChv,DDnt,EEfh,603.82
AAdk,BBst,CChv,DDtv,EElp,927.17
