DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDcy,EEbkv,3.01,-61.82,99.45,-78.17,-96.37,-42.47
,EEjvz,29.29,81.93,-10.73,61.63,-90.82,-28.95
,EEcrv,13.07,-52.20,-21.34,-73.29,35.61,-37.46
,EEmpy,20.25,-48.52,-13.93,-71.33,-90.31,-31.28
DDcjx,EEmz,-98.85,84.85,-3.33,63.86,47.14,-27.97
,EEhq,24.96,-47.17,-12.89,57.27,-91.51,-30.58
,EEdhv,15.26,-50.51,-18.00,-72.28,-94.73,-39.12
,EEkqy,5.27,-56.90,-24.21,-78.05,-96.17,89.47
DDmx,EEmz,1.90,-63.46,-30.20,48.34,-98.41,-48.55
,EEqz,12.50,76.21,-23.88,52.37,-97.83,89.39
,EEksy,27.98,-46.58,-10.00,60.42,31.71,99.64
,EEbhk,17.51,-50.32,-18.98,-71.20,37.42,-35.41
Average,,6.01,-19.54,-7.34,-8.37,-50.36,-3.61
