CC,DD,AAcy_BBhpt,AAcy_BBbsz,AAcy_BBbkv,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx
CCfnw,,-72.53,-14.01,59.07,-36.12,-55.52,37.45,85.58,-53.64,15.79
,  DDknr,-68.49,-9.20,64.86,-33.00,-91.33,41.68,91.24,-49.40,19.70
,  DDgv,-71.44,-12.11,61.06,-35.30,-92.79,37.02,88.13,-52.24,15.62
,  DDlmr,-63.72,-5.12,64.99,-29.86,-93.33,44.70,93.43,-47.06,25.03
,  DDkrs,-82.96,-23.34,48.47,-42.55,98.83,30.27,72.90,-61.02,6.88
,  DDqz,-76.04,-20.26,55.98,-39.89,-98.98,33.59,82.19,-58.49,11.74
CChpx,,-70.74,-13.54,59.36,-35.09,-54.77,38.41,87.55,-52.35,17.37
,  DDcwz,-63.13,-4.73,68.36,-28.88,-92.36,46.09,97.72,-45.45,26.04
,  DDmx,-65.75,-8.80,62.08,-31.30,-94.53,41.19,93.15,-49.62,22.49
,  DDdlz,-70.09,-12.58,62.30,-35.61,-91.88,38.29,86.26,-53.38,19.48
,  DDcmp,-75.86,-19.44,55.44,-37.08,-94.71,35.36,86.20,-55.18,9.49
,  DDlmr,-78.88,-22.16,48.63,-42.60,99.65,31.10,74.44,-58.10,9.33
CCbt,,-75.12,-16.48,55.52,-37.77,-54.88,36.11,84.75,-54.35,13.20
,  DDcwz,-78.68,-22.50,47.27,-39.20,-99.27,33.88,81.99,-57.83,9.95
,  DDmx,-86.63,-24.73,47.49,-44.72,98.21,28.46,70.07,-61.54,2.98
,  DDmpy,-71.10,-10.96,61.63,-33.54,-91.73,39.51,91.56,-50.88,19.50
,  DDkrs,-64.37,-10.11,63.62,-33.93,-88.16,41.95,94.10,-47.97,19.80
,  DDbmz,-74.84,-14.10,57.60,-37.48,-93.47,36.76,86.04,-53.54,13.76
