AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,770.85
AAdk,BBtw,CCst,DDnw,386.94
AAdk,BBtw,CCbx,DDrz,651.32
AAdk,BBtw,CChv,DDcl,524.07
AAdk,BBtw,CCst,DDlp,269.36
AAdk,BBtw,CCbx,DDcs,140.2
AAdk,BBtw,CChv,DDhm,527.42
AAdk,BBtw,CCst,DDnt,913.63
AAdk,BBtw,CCbx,DDnw,401.3
AAdk,BBrv,CChv,DDnt,404.01
AAdk,BBrv,CCst,DDnw,26.4
AAdk,BBrv,CCbx,DDrz,34.03
AAdk,BBrv,CChv,DDcl,554.59
AAdk,BBrv,CCst,DDlp,811.82
AAdk,BBrv,CCbx,DDcs,560.13
AAdk,BBrv,CChv,DDhm,307.42
AAdk,BBrv,CCst,DDnt,308.37
AAdk,BBrv,CCbx,DDnw,188.7
AAdk,BBmn,CChv,DDnt,317.74
AAdk,BBmn,CCst,DDnw,581.18
AAdk,BBmn,CCbx,DDrz,713.51
AAdk,BBmn,CChv,DDcl,844.49
AAdk,BBmn,CCst,DDlp,334.62
AAdk,BBmn,CCbx,DDcs,340.56
AAdk,BBmn,CChv,DDhm,725.33
AAdk,BBmn,CCst,DDnt,725.55
AAdk,BBmn,CCbx,DDnw,472.22
AAdk,BBtw,CChv,DDnt,473.81
AAdk,BBtw,CCst,DDnw,858.61
AAdk,BBtw,CCbx,DDrz,733.8
AAdk,BBtw,CChv,DDcl,356.19
AAdk,BBtw,CCst,DDlp,366.29
AAdk,BBtw,CCbx,DDcs,495.85
AAdk,BBtw,CChv,DDhm,240.37
AAdk,BBtw,CCst,DDnt,370.24
AAdk,BBtw,CCbx,DDnw,499.58
