CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx
CChpx,DDlmr,40.81,-67.16,-35.43,72.19,4.98,-10.63,13.62
,DDcmp,32.75,-72.01,-38.75,67.96,-95.78,-16.24,6.03
,DDqtw,52.86,-56.08,-25.68,77.50,-89.41,-7.99,14.57
,DDdlz,39.41,-62.78,-32.65,71.77,-92.85,-12.53,7.70
CCfnw,DDkrs,39.60,-68.54,-36.50,71.00,3.07,-13.09,11.82
,DDgv,35.28,-63.50,-34.61,70.46,-95.16,-13.90,8.64
,DDqz,31.34,-76.45,-39.84,64.76,-97.23,-20.42,3.46
,DDknr,49.89,-57.66,-27.56,76.70,-94.23,-9.16,14.11
CCbt,DDcwz,29.02,-77.12,-43.38,62.99,-97.59,-18.35,4.11
,DDmx,39.84,-70.66,-38.21,70.74,-1.81,-13.62,8.93
,DDmpy,47.13,-61.25,-31.05,72.23,-91.20,-10.32,10.34
,DDbmz,35.61,-67.11,-37.45,69.66,-97.96,-16.51,7.89
