CC,DD,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
CCcy,,9.28,59.97,89.47,32.45,,
,  DDbkv,9.28,59.97,89.47,32.45,EEhpx,FFlmr
,  DDbmz,10.58,68.77,92.56,42.24,EEmz,FFlmr
,  DDhlt,23.49,74.61,96.69,52.12,EEhpx,FFlmr
CCbt,,4.96,57.47,80.69,31.14,,
,  DDmpy,17.97,72.91,96.61,48.23,EEmz,FFgqt
,  DDhpt,11.78,64.97,91.47,39.13,EEhpx,FFgqt
,  DDmx,4.96,57.47,80.69,31.14,EEmz,FFgqt
CCkqy,,9.61,63.32,90.69,38.40,,
,  DDbsz,13.38,68.62,93.87,48.97,EEhpx,FFbpv
,  DDcwz,9.61,63.32,90.69,38.40,EEmz,FFbpv
,  DDmx,29.14,75.45,97.04,57.06,EEmz,FFbpv
Minimum,,4.96,57.47,80.69,31.14,,
,  ,4.96,57.47,80.69,31.14,,
