Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,388.44
AAdk,BBtw,CCst,DDnw,391.11
AAdk,BBtw,CCbx,DDrz,397.37
AAdk,BBtw,CChv,DDcl,528.3
AAdk,BBtw,CCst,DDlp,272.59
AAdk,BBtw,CCbx,DDcs,154.91
AAdk,BBrv,CChv,DDnt,928.55
AAdk,BBrv,CCst,DDnw,817.5
AAdk,BBrv,CCbx,DDrz,817.85
AAdk,BBrv,CChv,DDcl,437.67
AAdk,BBrv,CCst,DDlp,705.0
AAdk,BBrv,CCbx,DDcs,66.52
AAdk,BBmn,CChv,DDnt,451.07
AAdk,BBmn,CCst,DDnw,201.75
AAdk,BBmn,CCbx,DDrz,852.96
AAdk,BBmn,CChv,DDcl,611.8
AAdk,BBmn,CCst,DDlp,996.46
AAdk,BBmn,CCbx,DDcs,869.82
AAdk,BBtw,CChv,DDnt,742.77
AAdk,BBtw,CCst,DDnw,615.97
AAdk,BBtw,CCbx,DDrz,485.11
AAdk,BBtw,CChv,DDcl,622.54
AAdk,BBtw,CCst,DDlp,497.69
AAdk,BBtw,CCbx,DDcs,755.48
