AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,512.67
AAdk,BBtw,CCst,DDnw,385.64
AAdk,BBtw,CChv,DDrz,529.5
AAdk,BBtw,CCst,DDcl,402.04
AAdk,BBtw,CChv,DDlp,531.64
AAdk,BBtw,CCst,DDcs,283.13
AAdk,BBrv,CChv,DDnt,287.79
AAdk,BBrv,CCst,DDnw,34.32
AAdk,BBrv,CChv,DDrz,43.04
AAdk,BBrv,CCst,DDcl,699.83
AAdk,BBrv,CChv,DDlp,964.24
AAdk,BBrv,CCst,DDcs,711.33
AAdk,BBmn,CChv,DDnt,584.35
AAdk,BBmn,CCst,DDnw,841.47
AAdk,BBmn,CChv,DDrz,84.28
AAdk,BBmn,CCst,DDcl,858.5
AAdk,BBmn,CChv,DDlp,223.56
AAdk,BBmn,CCst,DDcs,609.04
AAdk,BBtw,CChv,DDnt,105.41
AAdk,BBtw,CCst,DDnw,116.47
AAdk,BBtw,CChv,DDrz,245.77
AAdk,BBtw,CCst,DDcl,888.95
AAdk,BBtw,CChv,DDlp,253.91
AAdk,BBtw,CCst,DDcs,126.31
