Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,512.09
AApqr,BBnqx,CCbt,DDcy,EEbkv,514.62
AApqr,BBnqx,CCbt,DDcjx,EEkqy,130.17
AApqr,BBnqx,CCbt,DDmx,EEqz,517.22
AApqr,BBnqx,CCbt,DDcy,EEcrv,518.12
AApqr,BBnqx,CCbt,DDcjx,EEdhv,903.26
AApqr,BBnqx,CCbt,DDmx,EEbhk,904.15
AApqr,BBnqx,CCbt,DDcy,EEmz,146.41
AApqr,BBnqx,CCbt,DDcjx,EEbkv,279.94
AApqr,BBfnw,CCbt,DDmx,EEmz,792.31
AApqr,BBfnw,CCbt,DDcy,EEbkv,282.68
AApqr,BBfnw,CCbt,DDcjx,EEkqy,798.79
AApqr,BBfnw,CCbt,DDmx,EEqz,545.06
AApqr,BBfnw,CCbt,DDcy,EEcrv,803.05
AApqr,BBfnw,CCbt,DDcjx,EEdhv,297.62
AApqr,BBfnw,CCbt,DDmx,EEbhk,684.86
AApqr,BBfnw,CCbt,DDcy,EEmz,428.17
AApqr,BBfnw,CCbt,DDcjx,EEbkv,176.84
AApqr,BBlmr,CCbt,DDmx,EEmz,305.61
AApqr,BBlmr,CCbt,DDcy,EEbkv,50.66
AApqr,BBlmr,CCbt,DDcjx,EEkqy,438.45
AApqr,BBlmr,CCbt,DDmx,EEqz,696.62
AApqr,BBlmr,CCbt,DDcy,EEcrv,573.6
AApqr,BBlmr,CCbt,DDcjx,EEdhv,706.82
AApqr,BBlmr,CCbt,DDmx,EEbhk,324.35
AApqr,BBlmr,CCbt,DDcy,EEmz,713.39
AApqr,BBlmr,CCbt,DDcjx,EEbkv,587.39
AApqr,BBnqx,CCbt,DDmx,EEmz,715.49
AApqr,BBnqx,CCbt,DDcy,EEbkv,846.49
AApqr,BBnqx,CCbt,DDcjx,EEkqy,341.73
AApqr,BBnqx,CCbt,DDmx,EEqz,857.09
AApqr,BBnqx,CCbt,DDcy,EEcrv,985.86
AApqr,BBnqx,CCbt,DDcjx,EEdhv,989.05
AApqr,BBnqx,CCbt,DDmx,EEbhk,226.03
AApqr,BBnqx,CCbt,DDcy,EEmz,996.36
AApqr,BBnqx,CCbt,DDcjx,EEbkv,493.74
AApqr,BBfnw,CCbt,DDmx,EEmz,493.85
AApqr,BBfnw,CCbt,DDcy,EEbkv,366.82
AApqr,BBfnw,CCbt,DDcjx,EEkqy,878.09
AApqr,BBfnw,CCbt,DDmx,EEqz,494.42
AApqr,BBfnw,CCbt,DDcy,EEcrv,887.29
AApqr,BBfnw,CCbt,DDcjx,EEdhv,375.42
AApqr,BBfnw,CCbt,DDmx,EEbhk,890.53
AApqr,BBfnw,CCbt,DDcy,EEmz,125.79
AApqr,BBfnw,CCbt,DDcjx,EEbkv,126.37
