DD,EE,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs
DDcjx,,-12.15,-16.21,-59.49,49.51,5.24
,  EEkqy,-23.15,12.17,-66.61,88.03,42.39
,  EEdhv,-10.75,29.81,-58.46,91.61,-81.47
,  EEmz,-2.56,-90.62,-53.40,-31.11,54.81
DDcy,,-16.01,24.17,-62.71,47.08,-39.61
,  EEbkv,-25.46,8.34,-69.93,83.55,-88.98
,  EEcrv,-16.33,27.00,-62.44,89.69,46.76
,  EEmpy,-6.23,37.17,-55.76,-31.99,-76.62
DDmx,,22.14,-24.59,-19.98,10.23,44.43
,  EEqz,-22.86,16.15,-64.56,-8.34,45.53
,  EEbhk,-8.06,-93.06,-55.05,93.27,49.24
,  EEmz,97.35,3.14,59.66,-54.25,38.51
Average,,-2.01,-5.54,-47.39,35.61,3.35
,  ,-2.01,-5.54,-47.39,35.61,3.35
