DD,EE,AAbx_BBtw_CCdt,AAbx_BBst_CChm,AAdk_BBtw_CChv,AAdk_BBst_CCdl,AArv_BBtw_CCmx,AArv_BBst_CCnw,Maximum
DDnt,,20.51,26.22,5.01,26.17,27.12,14.04,27.12
,  EEfx,20.51,23.25,5.01,26.17,0.05,14.04,26.17
,  EEdn,16.12,26.22,1.12,20.82,27.12,7.97,27.12
,  EEfh,18.05,15.73,2.19,22.10,22.12,10.71,22.12
DDtv,,21.88,27.18,7.02,25.25,25.97,15.08,27.18
,  EElp,19.92,19.73,2.73,25.25,24.00,10.33,25.25
,  EEhr,21.88,25.70,7.02,20.14,25.97,15.08,25.97
,  EEmn,17.69,27.18,1.88,21.37,23.03,8.98,27.18
Maximum,,21.88,27.18,7.02,26.17,27.12,15.08,27.18
,  ,21.88,27.18,7.02,26.17,27.12,15.08,27.18
