DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,Average
DDcjx,EEkqy,43.92,-23.09,-75.34,6.08,-40.82,78.46,-1.80
,EEhq,61.03,-15.32,-65.76,18.80,-32.44,-97.21,-21.82
,EEmz,61.90,-9.86,-57.05,26.56,-31.50,-88.25,-16.37
,EEqz,73.16,-2.93,-49.46,34.52,-31.49,-85.97,-10.36
,EEdhv,51.34,-18.30,-70.85,13.63,-39.55,83.14,3.24
DDcy,EEkqy,73.30,-6.32,-55.62,32.77,-27.70,-88.72,-12.05
,EEmpy,57.76,-15.36,-64.26,16.88,-34.00,-9.62,-8.10
,EEcrv,49.15,-18.00,-71.53,10.95,-39.33,83.68,2.49
,EEbkv,43.85,-30.58,-76.05,5.10,-41.91,78.70,-3.48
,EEjvz,62.21,-10.85,-61.08,24.22,-31.36,-89.75,-17.77
DDmx,EEbhk,49.39,-16.33,-65.90,15.51,-35.92,91.17,6.32
,EEksy,62.71,-12.84,-63.09,23.97,-31.25,-97.77,-19.71
,EEmz,37.61,-25.92,-80.80,-0.98,-48.78,74.55,-7.39
,EEqz,49.14,-21.91,-75.09,6.23,-39.57,83.72,0.42
,EEbkv,68.69,-10.84,-56.57,31.56,-29.07,-88.69,-14.15
Average,,56.34,-15.90,-65.90,17.72,-35.65,-4.84,-8.04
