DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt
DDcy,,44.50,-22.24,-5.17,-15.71,18.91,43.34
,  EEmpy,-31.39,46.89,63.63,-12.24,26.06,79.67
,  EEqz,88.82,38.37,56.16,-21.39,9.09,73.04
,  EEdhv,91.42,-86.87,-72.11,-15.36,24.64,-53.43
,  EEbkv,29.14,-87.34,-68.37,-13.84,15.86,74.09
DDmx,,26.52,-56.03,-53.76,-19.04,16.48,-6.92
,  EEkqy,-41.20,-91.05,-72.77,-26.54,6.46,68.34
,  EEcrv,-37.50,40.57,-71.32,-19.69,19.76,-54.12
,  EEmz,91.41,-89.72,-4.96,-15.51,15.18,10.37
,  EEbhk,93.38,-83.92,-65.98,-14.40,24.52,-52.27
Average,,35.51,-39.13,-29.46,-17.37,17.70,18.21
,  ,35.51,-39.13,-29.46,-17.37,17.70,18.21
