DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,AAhpx_BBbwx_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs
DDcy,EEmz,40.39,-84.42,-41.88,-3.11,70.55,-75.42,-57.37,17.47,85.24
,EEcrv,32.36,-4.48,-49.54,-26.58,51.31,-77.30,-64.56,6.50,77.40
,EEmpy,36.13,-96.30,-44.09,-7.34,61.43,-74.87,-60.91,13.41,82.12
,EEbkv,24.64,93.12,-51.85,-36.43,48.24,-83.17,-67.61,3.75,73.56
DDcjx,EEhq,38.89,-88.80,-46.35,-5.74,63.86,-73.15,-58.28,14.46,83.94
,EEdhv,33.86,0.35,-46.77,-19.75,54.18,-76.06,-65.58,7.36,78.33
,EEkqy,26.56,94.95,-50.21,-7.07,50.66,-79.33,-68.58,4.39,73.93
,EEbkv,40.08,-83.68,-41.79,-2.98,71.86,-70.51,-55.02,18.34,86.22
DDmx,EEmz,20.26,90.04,-55.10,-37.36,38.44,-83.41,-68.66,1.50,71.28
,EEbhk,36.62,-97.19,-45.51,-8.68,60.28,-75.33,-64.53,8.70,78.37
,EEksy,39.83,-86.08,-42.69,-4.39,69.23,-72.88,-57.31,16.91,84.42
,EEqz,27.94,96.99,-49.51,-35.20,51.83,-78.42,-65.74,5.70,76.10
Average,,33.13,-13.79,-47.11,-16.22,57.66,-76.65,-62.85,9.87,79.24
