DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs
Average,,-20.50,67.77,14.30,-87.28,-52.57,46.55
,  ,-20.50,67.77,14.30,-87.28,-52.57,46.55
DDmx,,-23.09,60.55,11.62,-88.56,-54.76,44.73
,  EEqz,-19.50,79.73,15.54,-83.00,-49.87,47.58
,  EEmz,-25.10,26.75,9.51,-91.31,-58.64,43.33
,  EEbhk,-24.68,75.15,9.83,-91.37,-55.76,43.27
DDcjx,,-17.59,64.91,16.54,-85.18,-50.62,49.42
,  EEdhv,-16.59,37.21,21.60,-81.18,-45.86,52.14
,  EEhq,-15.09,79.74,14.40,-87.61,-53.71,51.46
,  EEkqy,-21.09,77.78,13.62,-86.75,-52.29,44.66
DDcy,,-20.82,77.86,14.73,-88.11,-52.34,45.51
,  EEcrv,-18.61,80.78,19.13,-82.14,-47.02,47.63
,  EEbkv,-21.92,74.72,11.29,-90.39,-55.62,44.64
,  EEmpy,-21.93,78.07,13.77,-91.80,-54.39,44.25
