Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,386.1
AApqr,BBnqx,CCbt,DDcy,EEbkv,517.18
AApqr,BBnqx,CCbt,DDcjx,EEkqy,901.81
AApqr,BBnqx,CCbt,DDmx,EEqz,267.57
AApqr,BBnqx,CCbt,DDcy,EEcrv,396.1
AApqr,BBnqx,CCbt,DDcjx,EEdhv,395.09
AApqr,BBnqx,CCbt,DDmx,EEbhk,783.6
AApqr,BBnqx,CCbt,DDcy,EEmz,146.95
AApqr,BBnqx,CCbt,DDcjx,EEbkv,20.46
AApqr,BBfnw,CCbt,DDmx,EEmz,278.7
AApqr,BBfnw,CCbt,DDcy,EEbkv,153.46
AApqr,BBfnw,CCbt,DDcjx,EEkqy,153.81
AApqr,BBfnw,CCbt,DDmx,EEqz,158.33
AApqr,BBfnw,CCbt,DDcy,EEcrv,798.72
AApqr,BBfnw,CCbt,DDcjx,EEdhv,671.68
AApqr,BBfnw,CCbt,DDmx,EEbhk,40.78
AApqr,BBfnw,CCbt,DDcy,EEmz,296.04
AApqr,BBfnw,CCbt,DDcjx,EEbkv,815.76
AApqr,BBlmr,CCbt,DDmx,EEmz,944.43
AApqr,BBlmr,CCbt,DDcy,EEbkv,434.29
AApqr,BBlmr,CCbt,DDcjx,EEkqy,59.84
AApqr,BBlmr,CCbt,DDmx,EEqz,189.14
AApqr,BBlmr,CCbt,DDcy,EEcrv,318.32
AApqr,BBlmr,CCbt,DDcjx,EEdhv,829.71
AApqr,BBlmr,CCbt,DDmx,EEbhk,61.29
AApqr,BBlmr,CCbt,DDcy,EEmz,579.79
AApqr,BBlmr,CCbt,DDcjx,EEbkv,325.7
AApqr,BBnqx,CCbt,DDmx,EEmz,328.07
AApqr,BBnqx,CCbt,DDcy,EEbkv,841.72
AApqr,BBnqx,CCbt,DDcjx,EEkqy,714.82
AApqr,BBnqx,CCbt,DDmx,EEqz,456.9
AApqr,BBnqx,CCbt,DDcy,EEcrv,589.93
AApqr,BBnqx,CCbt,DDcjx,EEdhv,976.68
AApqr,BBnqx,CCbt,DDmx,EEbhk,341.62
AApqr,BBnqx,CCbt,DDcy,EEmz,854.2
AApqr,BBnqx,CCbt,DDcjx,EEbkv,984.77
AApqr,BBfnw,CCbt,DDmx,EEmz,91.4
AApqr,BBfnw,CCbt,DDcy,EEbkv,861.39
AApqr,BBfnw,CCbt,DDcjx,EEkqy,94.54
AApqr,BBfnw,CCbt,DDmx,EEqz,95.99
AApqr,BBfnw,CCbt,DDcy,EEcrv,867.82
AApqr,BBfnw,CCbt,DDcjx,EEdhv,357.87
AApqr,BBfnw,CCbt,DDmx,EEbhk,107.24
AApqr,BBfnw,CCbt,DDcy,EEmz,505.98
AApqr,BBfnw,CCbt,DDcjx,EEbkv,250.99
