CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,EE,FF
Minimum,,63.46,26.94,52.68,20.26,4.06,40.18,85.93,,
,  ,63.46,26.94,52.68,20.26,4.06,40.18,85.93,,
CCbt,,63.46,26.94,53.48,20.26,4.06,40.18,85.93,,
,  DDmx,63.46,26.94,53.48,20.26,4.06,40.18,85.93,EEmz,FFgqt
,  DDmpy,80.81,35.77,59.81,20.70,14.52,50.22,95.17,EEmz,FFgqt
,  DDhpt,75.10,33.44,56.85,22.24,8.21,45.12,88.77,EEhpx,FFgqt
CCkqy,,72.92,30.02,52.68,22.55,6.99,42.92,87.56,,
,  DDbsz,78.21,35.17,57.18,25.58,13.46,47.03,90.64,EEhpx,FFbpv
,  DDcwz,72.92,30.02,55.42,22.55,6.99,42.92,87.56,EEmz,FFbpv
,  DDhk,84.08,39.62,52.68,23.31,19.33,52.14,98.53,EEmz,FFbpv
CCcy,,66.95,30.29,54.34,20.85,6.29,41.96,86.43,,
,  DDhlt,82.82,37.42,55.00,25.08,15.09,51.88,97.69,EEhpx,FFlmr
,  DDbkv,66.95,30.29,54.34,20.85,6.29,41.96,86.43,EEhpx,FFlmr
,  DDbmz,77.62,34.52,57.13,24.19,11.64,46.44,90.70,EEmz,FFlmr
