AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,386.38
AAdk,BBtw,CChv,DDtv,EEmn,899.05
AAdk,BBtw,CChv,DDpw,EEfh,776.92
AAdk,BBtw,CChv,DDnt,EElp,265.71
AAdk,BBtw,CChv,DDtv,EEfx,525.25
AAdk,BBtw,CChv,DDpw,EEhr,655.76
AAdk,BBtw,CChv,DDnt,EEhl,657.98
AAdk,BBtw,CChv,DDtv,EEkz,146.3
AAdk,BBtw,CChv,DDpw,EEdn,410.89
AAdk,BBst,CChv,DDnt,EEdn,671.09
AAdk,BBst,CChv,DDtv,EEmn,544.61
AAdk,BBst,CChv,DDpw,EEfh,932.75
AAdk,BBst,CChv,DDnt,EElp,307.57
AAdk,BBst,CChv,DDtv,EEfx,308.66
AAdk,BBst,CChv,DDpw,EEhr,56.26
AAdk,BBst,CChv,DDnt,EEhl,185.09
AAdk,BBst,CChv,DDtv,EEkz,827.55
AAdk,BBst,CChv,DDpw,EEdn,319.83
AAdk,BBtw,CChv,DDnt,EEdn,448.79
AAdk,BBtw,CChv,DDtv,EEmn,577.0
AAdk,BBtw,CChv,DDpw,EEfh,838.7
AAdk,BBtw,CChv,DDnt,EElp,331.13
AAdk,BBtw,CChv,DDtv,EEfx,77.51
AAdk,BBtw,CChv,DDpw,EEhr,726.5
AAdk,BBtw,CChv,DDnt,EEhl,93.19
AAdk,BBtw,CChv,DDtv,EEkz,93.16
AAdk,BBtw,CChv,DDpw,EEdn,221.72
AAdk,BBst,CChv,DDnt,EEdn,992.18
AAdk,BBst,CChv,DDtv,EEmn,889.47
AAdk,BBst,CChv,DDpw,EEfh,610.11
AAdk,BBst,CChv,DDnt,EElp,234.06
AAdk,BBst,CChv,DDtv,EEfx,749.97
AAdk,BBst,CChv,DDpw,EEhr,238.49
AAdk,BBst,CChv,DDnt,EEhl,112.81
AAdk,BBst,CChv,DDtv,EEkz,889.4
AAdk,BBst,CChv,DDpw,EEdn,763.73
