DD,EE,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx
DDcy,,23.65,2.92,-9.89,45.28,17.29,-24.95
,  EEbkv,95.38,34.29,72.10,82.48,7.99,58.01
,  EEmpy,-4.40,-74.23,-49.35,95.82,28.88,-65.39
,  EEcrv,-20.02,48.69,-52.41,-42.45,14.99,-67.48
DDcjx,,-16.41,5.94,-10.46,47.50,18.54,18.61
,  EEdhv,-17.19,53.93,-51.64,-38.57,16.46,59.83
,  EEkqy,-28.29,-93.09,74.87,84.96,10.95,59.39
,  EEmz,-3.74,56.99,-54.62,96.11,28.20,-63.40
DDmx,,22.25,-41.90,31.77,-42.02,13.46,-69.67
,  EEqz,-26.10,45.99,73.41,-44.27,13.55,-68.36
,  EEmz,97.95,-96.66,72.13,-47.06,6.08,-75.37
,  EEbhk,-5.09,-75.04,-50.23,-34.72,20.74,-65.27
Average,,9.83,-11.01,3.81,16.92,16.43,-25.34
,  ,9.83,-11.01,3.81,16.92,16.43,-25.34
