DD,EE,AArv_BBst_CCnw,AArv_BBtw_CCmx,AAdk_BBst_CCdl,AAdk_BBtw_CChv,AAbx_BBtw_CCdt,Maximum
DDnt,,12.76,27.83,21.78,5.27,19.86,27.83
,  EEfx,12.76,13.02,18.75,5.27,19.86,19.86
,  EEfh,11.78,27.83,16.11,3.33,14.23,27.83
,  EEdn,8.74,25.06,21.78,0.42,15.99,25.06
DDtv,,14.98,26.50,26.24,6.88,20.69,26.50
,  EElp,11.59,26.50,22.09,4.37,15.32,26.50
,  EEmn,10.22,19.81,21.49,2.97,16.17,21.49
,  EEhr,14.98,20.90,26.24,6.88,20.69,26.24
Maximum,,14.98,27.83,26.24,6.88,20.69,27.83
,  ,14.98,27.83,26.24,6.88,20.69,27.83
