CC,DD,AAdk_BBpw,AAdk_BBqx,AAdk_BBtw,AAdn_BBrv,AAdn_BBdl,AAtv_BBmn,AAtv_BBhz
Minimum,,34.90,84.98,2.61,9.93,0.09,26.37,75.10
,  ,34.90,84.98,2.61,9.93,0.09,26.37,75.10
CCst,,34.90,85.70,3.00,11.95,0.09,27.57,79.46
,  DDnw,34.90,85.70,3.00,11.95,59.58,27.57,79.46
,  DDcl,52.20,89.43,7.79,15.84,0.09,35.59,81.19
,  DDnt,55.02,93.01,7.85,20.93,65.22,37.47,81.70
CChv,,38.26,84.98,2.61,9.93,58.47,26.37,75.10
,  DDlp,55.33,92.11,8.85,17.68,65.97,36.23,82.16
,  DDrz,49.47,86.67,4.52,14.99,61.10,34.29,80.71
,  DDnt,38.26,84.98,2.61,9.93,58.47,26.37,75.10
