AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,768.27
AAdk,BBtw,CChv,DDtv,EEmn,263.88
AAdk,BBtw,CChv,DDnt,EEfh,776.89
AAdk,BBtw,CChv,DDtv,EElp,409.34
AAdk,BBtw,CChv,DDnt,EEfx,153.7
AAdk,BBtw,CChv,DDtv,EEhr,538.19
AAdk,BBst,CChv,DDnt,EEdn,286.3
AAdk,BBst,CChv,DDtv,EEmn,548.97
AAdk,BBst,CChv,DDnt,EEfh,945.74
AAdk,BBst,CChv,DDtv,EElp,184.22
AAdk,BBst,CChv,DDnt,EEfx,838.79
AAdk,BBst,CChv,DDtv,EEhr,327.14
AAdk,BBtw,CChv,DDnt,EEdn,589.09
AAdk,BBtw,CChv,DDtv,EEmn,207.86
AAdk,BBtw,CChv,DDnt,EEfh,209.07
AAdk,BBtw,CChv,DDtv,EElp,341.16
AAdk,BBtw,CChv,DDnt,EEfx,603.31
AAdk,BBtw,CChv,DDtv,EEhr,228.33
AAdk,BBst,CChv,DDnt,EEdn,236.12
AAdk,BBst,CChv,DDtv,EEmn,499.31
AAdk,BBst,CChv,DDnt,EEfh,628.69
AAdk,BBst,CChv,DDtv,EElp,888.67
AAdk,BBst,CChv,DDnt,EEfx,125.39
AAdk,BBst,CChv,DDtv,EEhr,511.23
