DD,EE,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbmz,AAgqt_BBfnw_CCbpv,Maximum
DDcjx,,25.65,10.09,2.47,16.91,24.63,27.22,27.22
,  EEkqy,11.74,8.70,1.61,11.88,16.33,22.87,22.87
,  EEmz,25.65,2.80,1.87,16.91,24.63,27.22,27.22
,  EEdhv,23.60,10.09,2.47,13.46,19.65,25.49,25.49
DDcy,,25.00,14.39,7.51,15.34,6.81,27.24,27.24
,  EEcrv,21.40,9.72,1.99,13.96,6.81,27.24,27.24
,  EEmpy,25.00,14.39,7.51,15.34,2.73,26.88,26.88
,  EEbkv,13.88,1.34,1.95,3.18,3.38,25.12,25.12
DDmx,,24.60,11.32,6.68,15.89,20.94,27.01,27.01
,  EEqz,21.95,8.13,3.86,4.76,18.78,25.46,25.46
,  EEmz,14.12,7.10,0.64,6.18,15.49,27.01,27.01
,  EEbhk,24.60,11.32,6.68,15.89,20.94,6.85,24.60
