CC,DD,AAdk_BBrv,AAdk_BBmn,AAdk_BBtw,Average
CCbx,,647.56,510.01,558.47,572.01
,  DDrz,938.75,452.79,763.67,718.41
,  DDnt,568.62,485.14,397.37,483.71
,  DDcs,435.30,592.11,514.37,513.93
CCst,,516.79,501.43,490.94,503.06
,  DDdf,696.75,595.48,203.02,498.42
,  DDnw,676.21,702.30,694.20,690.91
,  DDlp,177.40,206.52,575.61,319.84
CChv,,513.79,328.65,253.92,365.45
,  DDnt,675.61,317.37,243.68,412.22
,  DDhm,54.24,464.64,134.76,217.88
,  DDcl,811.53,203.93,383.33,466.26
Average,,559.38,446.70,434.45,480.17
,  ,559.38,446.70,434.45,480.17
