CC,DD,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx,Average
CCfnw,,39.47,12.39,-17.45,44.78,55.85,27.01
,  DDkrs,65.98,97.80,4.42,36.55,81.00,57.15
,  DDgv,74.80,-11.88,16.75,46.35,-39.85,17.23
,  DDqz,-61.66,-24.53,8.85,37.42,84.77,8.97
,  DDmx,78.77,-11.83,-99.80,58.79,97.48,24.68
CChpx,,-23.77,-15.95,18.91,48.22,23.68,10.22
,  DDkrs,-50.01,-4.80,34.63,60.94,97.12,27.58
,  DDdlz,-52.70,-10.36,27.96,53.93,90.37,21.84
,  DDcmp,71.11,-21.44,6.25,40.48,-44.87,10.31
,  DDlmr,-63.49,-27.20,6.78,37.55,-47.90,-18.85
CCbt,,-26.71,10.52,11.18,-2.38,-11.72,-3.82
,  DDcwz,-61.40,-31.48,6.82,35.99,-45.16,-19.05
,  DDmpy,77.10,-10.30,28.12,53.94,90.74,47.92
,  DDbmz,-54.09,-15.35,8.40,-4.81,-40.31,-21.23
,  DDmx,-68.45,99.20,1.40,-94.62,-52.15,-22.92
