CC,DD,EE,FF,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz
CCcy,DDbkv,EEmz,FFlmr,89.74,48.80,2.95,25.24,69.46
,DDbmz,EEmz,FFgqt,89.65,53.06,11.69,31.33,75.32
,DDhlt,EEmz,FFlmr,94.96,63.91,18.92,44.94,81.35
CCkqy,DDhk,EEmz,FFgqt,99.45,65.93,18.23,45.02,84.15
,DDbsz,EEmz,FFlmr,94.89,60.92,11.02,36.00,79.79
,DDcwz,EEmz,FFgqt,89.73,47.86,3.21,30.72,70.12
CCbt,DDmpy,EEmz,FFgqt,94.82,61.96,13.86,43.40,79.83
,DDhpt,EEmz,FFlmr,91.00,51.39,8.75,31.81,74.35
,DDmx,EEmz,FFgqt,87.80,47.44,1.45,19.74,66.06
Minimum,,,,87.80,47.44,1.45,19.74,66.06
