CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBgqt,AAmz_BBbpv,Average
CChpx,DDdlz,-38.67,82.74,17.78,-82.85,-13.39,47.88,-59.46,-6.57
,DDlmr,-46.77,63.06,8.32,96.32,-1.93,35.35,-65.47,12.70
,DDcwz,-28.86,96.38,31.41,-72.12,-1.88,60.22,-52.46,4.67
,DDcmp,-41.86,73.35,11.74,-91.43,-16.94,39.86,-62.34,-12.52
,DDmx,-32.38,96.14,29.09,-76.53,-9.17,54.37,-55.79,0.82
CCbt,DDbmz,-39.47,79.25,13.67,-90.26,-15.46,44.46,-61.20,-9.86
,DDcwz,-43.09,66.34,8.14,-1.06,-19.53,36.91,-64.29,-2.37
,DDmpy,-41.43,86.69,17.31,-81.69,-11.25,52.72,-65.63,-6.18
,DDkrs,-31.53,96.20,29.69,-75.08,-8.55,52.73,-54.67,1.26
,DDmx,-49.49,60.71,0.27,98.57,-25.51,29.99,-70.54,6.29
CCfnw,DDlmr,-30.71,96.13,31.22,-73.76,-6.80,58.24,-54.01,2.90
,DDqz,-41.07,66.00,10.64,-99.39,-18.64,29.00,-65.10,-16.94
,DDknr,-33.55,95.89,28.02,-77.21,-11.37,53.95,-56.93,-0.17
,DDkrs,-46.17,61.80,1.92,97.96,-25.18,34.92,-66.31,8.42
,DDgv,-38.65,82.46,16.93,-85.65,-14.72,46.93,-61.23,-7.70
Average,,-38.91,80.21,17.08,-40.95,-13.35,45.17,-61.03,-1.68
