CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBmn,AAdk_BBdl,AAdk_BBtw,Minimum
CChv,,15.99,66.18,37.65,79.44,1.65,1.65
,  DDnt,15.99,67.74,37.65,79.44,1.65,1.65
,  DDhm,30.62,77.76,64.43,96.28,8.94,8.94
,  DDcl,22.41,66.18,46.29,91.08,7.44,7.44
CCst,,18.85,67.93,39.81,88.31,5.58,5.58
,  DDnt,32.06,78.54,66.43,97.89,10.60,10.60
,  DDlp,26.27,67.93,56.41,92.13,6.62,6.62
,  DDnw,18.85,69.19,39.81,88.31,5.58,5.58
CCbx,,19.85,70.16,43.90,88.84,5.17,5.17
,  DDrz,19.85,70.16,43.90,88.84,6.77,6.77
,  DDcs,29.92,75.48,64.83,95.04,6.69,6.69
,  DDnw,33.55,78.32,66.48,98.31,5.17,5.17
