CC,DD,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
Minimum,,79.29,0.68,47.46,39.15,62.87,55.28,25.90,,
,  ,79.29,0.68,47.46,39.15,62.87,55.28,25.90,,
CCcy,,82.56,2.85,47.62,39.15,64.96,62.27,36.42,,
,  DDmx,87.57,19.26,53.29,46.59,76.91,66.24,40.81,EEmz,FFgqt
,  DDhpt,82.88,8.87,47.62,39.15,70.61,64.47,38.98,EEmz,FFgqt
,  DDbkv,82.56,2.85,48.89,42.95,64.96,62.27,36.42,EEmz,FFgqt
CCbt,,79.29,0.68,47.46,41.26,62.87,55.28,25.90,,
,  DDmx,79.29,0.68,47.46,41.26,62.87,55.28,25.90,EEmz,FFgqt
,  DDbmz,84.11,12.49,52.72,42.94,74.34,63.92,39.67,EEmz,FFgqt
,  DDcwz,83.01,8.76,48.30,43.72,70.17,63.40,37.96,EEmz,FFgqt
