CC,DD,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCcy,,4.82,57.99,72.29,19.94,87.04,36.00,4.82,,
,  DDbkv,4.82,57.99,72.29,19.94,87.04,36.00,4.82,EEmz,FFlmr
,  DDmx,12.33,64.10,85.26,36.28,99.91,48.66,12.33,EEmz,FFlmr
,  DDbmz,7.97,61.69,79.48,29.87,90.82,42.17,7.97,EEmz,FFgqt
CCbt,,1.58,47.14,65.87,18.13,88.01,36.82,1.58,,
,  DDhpt,6.58,57.85,77.49,25.23,91.12,36.82,6.58,EEmz,FFlmr
,  DDmx,1.58,47.14,65.87,18.13,88.01,37.06,1.58,EEmz,FFgqt
,  DDmpy,9.15,63.77,78.03,36.86,98.78,47.28,9.15,EEmz,FFgqt
CCkqy,,5.51,58.63,77.20,23.78,90.65,41.11,5.51,,
,  DDbkv,15.56,65.77,87.91,38.33,99.00,48.49,15.56,EEmz,FFgqt
,  DDcwz,5.51,58.63,77.20,23.78,90.65,41.11,5.51,EEmz,FFgqt
,  DDbsz,9.82,62.93,78.34,35.15,93.09,45.68,9.82,EEmz,FFlmr
