CC,DD,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,AAmz_BBcjx,AAmz_BBgqt
CCbt,,-9.41,10.11,-12.15,-56.31,-92.52
,  DDcwz,-33.52,3.72,-77.37,-56.98,-94.59
,  DDbmz,-30.24,13.21,54.49,-54.01,-90.83
,  DDmx,35.53,13.41,-13.57,-57.94,-92.15
CChpx,,20.04,-3.91,12.69,-32.13,-67.20
,  DDdlz,-16.74,24.85,-70.28,-54.73,-85.80
,  DDlmr,-20.56,-47.35,54.99,13.32,-24.61
,  DDcmp,97.43,10.76,53.36,-54.98,-91.18
CCfnw,,-3.26,11.60,-74.95,-34.31,-68.96
,  DDgv,-19.38,15.66,-71.74,-56.73,-86.98
,  DDkrs,42.13,13.70,-76.38,9.40,-27.08
,  DDqz,-32.54,5.45,-76.73,-55.62,-92.81
