DD,EE,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,Average
DDmx,EEqz,-23.11,6.81,91.18,-65.78,65.43,-83.91,26.21,2.40
,EEmz,-39.53,3.39,89.68,-66.99,57.51,-90.30,23.06,-3.31
,EEbkv,-5.69,20.13,0.14,-46.18,82.85,-73.99,52.35,4.23
,EEksy,-11.20,16.11,99.49,-57.63,75.21,-75.18,41.43,12.60
,EEbhk,-20.47,9.76,93.57,-60.94,69.05,-78.13,33.25,6.58
DDcy,EEmpy,-21.60,10.82,91.95,-60.25,72.34,-78.55,38.51,7.60
,EEcrv,-21.56,4.85,92.84,-63.94,66.31,-83.59,28.55,3.35
,EEbkv,-26.07,3.25,89.86,-65.02,59.85,-86.46,24.58,-0.00
,EEkqy,-2.66,21.87,-98.36,-44.21,85.45,-76.46,52.69,-8.81
,EEjvz,-10.54,16.14,-1.20,-56.18,79.60,-78.30,43.51,-1.00
DDcjx,EEhq,-12.81,11.73,98.29,-58.14,73.69,-77.51,38.24,10.50
,EEdhv,-20.05,3.12,91.53,-64.64,69.24,-81.46,28.39,3.73
,EEqz,-1.37,19.99,-95.22,-43.09,86.24,-70.66,56.03,-6.87
,EEmz,-6.84,19.86,-0.38,-47.93,81.20,-73.92,52.02,3.43
,EEkqy,-24.02,5.17,91.47,-64.50,60.15,-85.30,25.54,1.22
Average,,-16.50,11.53,48.99,-57.69,72.27,-79.58,37.62,2.38
