Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,641.01
AAdk,BBtw,CCst,DDnw,838.55
AAdk,BBtw,CChv,DDrz,711.83
AAdk,BBtw,CCst,DDcl,889.45
AAdk,BBtw,CChv,DDlp,12.97
AAdk,BBtw,CCst,DDnt,654.11
AAdk,BBrv,CChv,DDnt,848.83
AAdk,BBrv,CCst,DDnw,945.94
AAdk,BBrv,CChv,DDrz,62.78
AAdk,BBrv,CCst,DDcl,147.78
AAdk,BBrv,CChv,DDlp,276.09
AAdk,BBrv,CCst,DDnt,214.97
AAdk,BBtw,CChv,DDnt,920.7
AAdk,BBtw,CCst,DDnw,409.79
AAdk,BBtw,CChv,DDrz,347.37
AAdk,BBtw,CCst,DDcl,93.3
AAdk,BBtw,CChv,DDlp,702.87
AAdk,BBtw,CCst,DDnt,127.2
